Tamaño de la matriz,Número de Condición,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
16,321.713,25,1.9e-05,1.00043e-14,1.7e-05,1.3374e+49,3.4e-05,inf,1.1e-05,1.3374e+49,1.1e-05,inf
16,101.797,25,4e-06,0,1.6e-05,1.9874e+30,1.2e-05,inf,5e-06,1.9874e+30,5e-06,inf
16,152.824,25,5e-06,4.1243e-14,1.7e-05,1.99547e+45,1.3e-05,inf,5e-06,1.99547e+45,5e-06,inf
16,83.9532,25,5e-06,2.427e-15,1.6e-05,5.1197e+30,1.2e-05,3.7485e+66,5e-06,5.1197e+30,6e-06,3.7485e+66
16,338.851,25,4e-06,1.12822e-13,1.7e-05,2.09054e+43,1.3e-05,inf,5e-06,2.09054e+43,5e-06,inf
16,140.757,25,4e-06,2.5157e-14,1.6e-05,3.46089e+25,1.3e-05,8.39022e+80,5e-06,3.46089e+25,5e-06,8.39022e+80
16,71.3862,25,4e-06,2.37079e-15,4.5e-05,8.71441e+38,3.2e-05,1.72318e+130,5e-06,8.71441e+38,5e-06,1.72318e+130
16,50.6976,25,4e-06,1.01379e-14,1.6e-05,1.20311e+32,1.3e-05,5.31537e+95,1.8e-05,1.20311e+32,5e-06,5.31537e+95
16,1819.39,25,4e-06,4.28223e-13,1.6e-05,4.53184e+25,1.2e-05,8.43283e+92,5e-06,4.53184e+25,5e-06,8.43283e+92
16,1250.01,25,5e-06,2.70171e-13,1.6e-05,1.81682e+20,1.3e-05,3.53866e+115,6e-06,1.81682e+20,5e-06,3.53866e+115
16,118.23,25,4e-06,2.33517e-14,2.9e-05,9.52618e+34,1.2e-05,1.84929e+136,5e-06,9.52618e+34,5e-06,1.84929e+136
16,92.6479,25,4e-06,2.17014e-14,1.6e-05,1.7946e+18,1.2e-05,4.92613e+64,5e-06,1.7946e+18,5e-06,4.92613e+64
